Time,Cell Name,EPM_RRC_SR,EPM_ERAB_SR,Cluster
2022-08-27,LCAIW20299-7,100.0,100.0,9
2022-08-27,LCAIW20291-1,100.0,99.9034,9
2022-08-27,LCAIW20291-2,100.0,99.8573,9
2022-08-27,LCAIW20291-3,100.0,100.0,9
2022-08-27,LCAIW20291-5,99.682,99.8534,9
2022-08-27,LCAIW20291-6,100.0,100.0,9
2022-08-27,LCAIW20291-7,100.0,100.0,9
2022-08-27,LCAIW20267-1,100.0,100.0,47
2022-08-27,LCAIW20267-2,100.0,100.0,47
2022-08-27,LCAIW20267-3,100.0,99.726,47
2022-08-27,LCAIW20267-5,100.0,100.0,47
2022-08-27,LCAIW20267-6,100.0,100.0,47
2022-08-27,LCAIW20267-7,100.0,100.0,47
2022-08-27,LCAIW20271-1,99.9637,99.9321,47
2022-08-27,LCAIW20271-2,99.9628,99.8533,47
2022-08-27,LCAIW20271-3,100.0,99.9079,47
2022-08-27,LCAIW20271-5,100.0,99.8158,47
2022-08-27,LCAIW20271-6,100.0,99.9254,9
2022-08-27,LCAIW20271-7,99.9139,99.8124,9
2022-08-27,LCAIW20285-1,100.0,100.0,9
2022-08-27,LCAIW20285-2,100.0,99.8487,9
2022-08-27,LCAIW20285-3,100.0,99.0385,9
2022-08-27,LCAIW20285-5,100.0,98.1982,9
2022-08-27,LCAIW20285-6,99.8849,99.6126,9
2022-08-27,LCAIW20285-7,100.0,100.0,9
2022-08-27,LCAIW20263-1,100.0,100.0,47
2022-08-27,LCAIW20263-2,100.0,98.8,47
2022-08-27,LCAIW20263-3,100.0,100.0,47
2022-08-27,LCAIW20263-5,100.0,100.0,47
2022-08-27,LCAIW20263-6,100.0,100.0,47
2022-08-27,LCAIW20263-7,100.0,100.0,47
2022-08-27,LCAIW20260-1,99.9169,99.7685,47
2022-08-27,LCAIW20260-2,100.0,99.8024,47
2022-08-27,LCAIW20260-3,100.0,100.0,47
2022-08-27,LCAIW20260-5,100.0,99.9241,47
2022-08-27,LCAIW20260-6,100.0,100.0,47
2022-08-27,LCAIW20260-7,100.0,100.0,47
2022-08-27,LCAIW10821-7,100.0,100.0,25
2022-08-27,LCAIW10821-6,100.0,99.3151,25
